,x_ins,initial_prices,reached_prices,ys,final_prices,x_outs,dxs
0,419567.95282409113,0.999987372549107,0.9999793640447452,419393.1505800005,0.9999953682225131,419229.01070158044,-338.9421225106715
1,839135.9056481823,0.999987372549107,0.9999713397980629,838782.9389602486,1.000003360274627,838451.3091596868,-684.5964884954991
2,1258703.8584722735,0.999987372549107,0.9999632936200369,1258169.3572344088,1.0000113548318983,1257666.8878120931,-1036.9706601801936
3,1678271.8112963645,0.999987372549107,0.9999552192796671,1677552.3948912222,1.0000193580252146,1676875.733923374,-1396.0773729906484
4,2097839.764120456,0.999987372549107,0.9999471104918681,2096932.0387943329,1.0000273760016531,2096077.8295607315,-1761.934559724236
5,2517407.716944547,0.999987372549107,0.9999389609051678,2516308.2731569945,1.000035414936291,2515273.151559771,-2134.5653847758067
6,2936975.669768638,0.999987372549107,0.9999307640891659,2935681.079511566,1.0000434810441108,2934461.671480098,-2513.998288540546
7,3356543.622592729,0.999987372549107,0.9999225135217067,3355050.4366736845,1.0000515805920533,3353643.355550576,-2900.2670421529365
8,3776111.57541682,0.999987372549107,0.9999142025757172,3774416.3207009886,1.0000597199112518,3772818.164604061,-3293.4108127591076
9,4195679.528240912,0.999987372549107,0.9999058245056612,4193778.7048462355,1.000067905409498,4191986.0540013523,-3693.4742395589933
10,4615247.481065003,0.999987372549107,0.9998973724335565,4613137.559504645,1.0000761435839867,4611146.973544108,-4100.5075208952885
11,5034815.433889094,0.999987372549107,0.9998888393344988,5032492.852155274,1.0000844410343803,5030300.867376385,-4514.566512708354
12,5454383.386713185,0.999987372549107,0.9998802180216368,5451844.5472962,1.0000928044762531,5449447.673874465,-4935.712838720293
13,5873951.339537276,0.999987372549107,0.9998715011305354,5871192.606373273,1.0001012407549574,5868587.325524518,-5364.0140127576515
14,6293519.2923613675,0.999987372549107,0.9998626811028611,6290536.987702163,1.0001097568599702,6287719.7487876965,-5799.543573670908
15,6713087.245185458,0.999987372549107,0.9998537501693224,6709877.646383404,1.0001183599397805,6706844.8639520975,-6242.381233360388
